"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asarm","Armenia","arm",288603
"as","Asia","asaze","Azerbaijan","aze",350796.99999999994
"as","Asia","asgeo","Georgia","geo",36519
"as","Asia","askaz","Kazakhstan","kaz",848491.0000000001
"as","Asia","askgz","Kyrgyzstan","kgz",21744
"as","Asia","astjk","Tajikistan","tjk",23400
"eu","Europe","eublr","Belarus","blr",1349
"eu","Europe","eucze","Czechia","cze",111804
"eu","Europe","eudeu","Germany","deu",70513
"eu","Europe","eufra","France","fra",6709
"eu","Europe","euhun","Hungary","hun",172546
"eu","Europe","euirl","Ireland","irl",420
"eu","Europe","euita","Italy","ita",9446
"eu","Europe","eultu","Lithuania","ltu",232207
"eu","Europe","eumda","Moldova","mda",47004
"eu","Europe","eupol","Poland","pol",1079271
"eu","Europe","eurus","Russia","rus",1206990
"eu","Europe","eusrb","Serbia","srb",433
"eu","Europe","eusvk","Slovakia","svk",233
"eu","Europe","euswe","Sweden","swe",392
"eu","Europe","euukr","Ukraine","ukr",798307